Region,Sales,Order ID,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Product ID,Category,Sub-Category,Product Name
West,0.99,CA-2017-126536,First Class,NK-18490,Neil Knudson,Home Office,United States,San Francisco,California,TEC-AC-10003709,Technology,Accessories,Maxell 4.7GB DVD-R 5/Pack
West,1.0800000000000003,CA-2015-106978,Standard Class,ZC-21910,Zuschuss Carroll,Consumer,United States,Aurora,Colorado,OFF-BI-10002012,Office Supplies,Binders,Wilson Jones Easy Flow II Sheet Lifters
West,1.0800000000000003,US-2017-100209,Standard Class,TD-20995,Tamara Dahlen,Consumer,United States,Portland,Oregon,OFF-BI-10002012,Office Supplies,Binders,Wilson Jones Easy Flow II Sheet Lifters
West,1.1880000000000002,US-2017-162068,Second Class,PC-18745,Pamela Coakley,Corporate,United States,Loveland,Colorado,OFF-BI-10002813,Office Supplies,Binders,Avery Reinforcements for Hole-Punch Pages
West,1.344,CA-2014-143168,Second Class,IG-15085,Ivan Gibson,Consumer,United States,Seattle,Washington,OFF-BI-10003784,Office Supplies,Binders,Computer Printout Index Tabs
West,1.4080000000000001,CA-2016-114748,Standard Class,MZ-17335,Maria Zettner,Home Office,United States,Phoenix,Arizona,OFF-AR-10001315,Office Supplies,Art,Newell 310
West,1.4400000000000002,CA-2017-129378,First Class,NS-18505,Neola Schneider,Consumer,United States,San Jose,California,OFF-BI-10002012,Office Supplies,Binders,Wilson Jones Easy Flow II Sheet Lifters
West,1.81,CA-2017-166933,Standard Class,MG-17890,Michael Granlund,Home Office,United States,Santa Barbara,California,OFF-FA-10002676,Office Supplies,Fasteners,Colored Push Pins
West,1.8720000000000003,CA-2016-114727,Standard Class,LS-16945,Linda Southworth,Corporate,United States,Denver,Colorado,OFF-BI-10004967,Office Supplies,Binders,Round Ring Binders
West,1.9380000000000002,CA-2015-149636,Standard Class,SP-20620,Stefania Perrino,Corporate,United States,Colorado Springs,Colorado,OFF-BI-10002764,Office Supplies,Binders,Recycled Pressboard Report Cover with Reinforced Top Hinge
West,2.0250000000000004,US-2015-160150,First Class,TS-21085,Thais Sissman,Consumer,United States,Phoenix,Arizona,OFF-BI-10004352,Office Supplies,Binders,Wilson Jones DublLock D-Ring Binders
West,2.21,CA-2015-155586,Second Class,XP-21865,Xylona Preis,Consumer,United States,Chico,California,OFF-AR-10001547,Office Supplies,Art,Newell 311
West,2.2239999999999998,CA-2017-156391,First Class,SL-20155,Sara Luxemburg,Home Office,United States,Salem,Oregon,OFF-AR-10003251,Office Supplies,Art,Prang Drawing Pencil Set
West,2.304,US-2015-128090,Standard Class,JM-15865,John Murray,Consumer,United States,Phoenix,Arizona,OFF-AR-10002255,Office Supplies,Art,Newell 346
West,2.368,CA-2014-100363,Standard Class,JM-15655,Jim Mitchum,Corporate,United States,Glendale,Arizona,OFF-FA-10000611,Office Supplies,Fasteners,Binder Clips by OIC
West,2.3760000000000003,US-2016-105578,Standard Class,MY-17380,Maribeth Yedwab,Corporate,United States,Parker,Colorado,OFF-BI-10000831,Office Supplies,Binders,Storex Flexible Poly Binders with Double Pockets
West,2.3880000000000003,US-2017-107272,Standard Class,TS-21610,Troy Staebel,Consumer,United States,Phoenix,Arizona,OFF-BI-10003274,Office Supplies,Binders,"Avery Durable Slant Ring Binders, No Labels"
West,2.48,CA-2015-126466,Standard Class,JO-15550,Jesus Ocampo,Home Office,United States,Roseville,California,OFF-FA-10000490,Office Supplies,Fasteners,"OIC Binder Clips, Mini, 1/4"" Capacity, Black"
West,2.4960000000000004,US-2016-158680,First Class,NZ-18565,Nick Zandusky,Home Office,United States,Seattle,Washington,OFF-BI-10000145,Office Supplies,Binders,Zipper Ring Binder Pockets
West,2.6,CA-2014-133690,First Class,BS-11755,Bruce Stewart,Consumer,United States,Denver,Colorado,OFF-AP-10003622,Office Supplies,Appliances,"Bravo II Megaboss 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack"
West,2.61,CA-2015-130736,First Class,JF-15490,Jeremy Farry,Consumer,United States,Seattle,Washington,OFF-LA-10000634,Office Supplies,Labels,Avery 509
West,2.688,US-2017-116652,Standard Class,RD-19480,Rick Duston,Consumer,United States,San Francisco,California,OFF-BI-10004528,Office Supplies,Binders,Cardinal Poly Pocket Divider Pockets for Ring Binders
West,2.78,CA-2017-107293,First Class,CS-12400,Christopher Schild,Home Office,United States,Seattle,Washington,OFF-AR-10003732,Office Supplies,Art,Newell 333
West,2.78,CA-2017-130106,Standard Class,VF-21715,Vicky Freymann,Home Office,United States,San Francisco,California,OFF-AR-10003732,Office Supplies,Art,Newell 333
West,2.88,CA-2014-114125,Standard Class,GH-14410,Gary Hansen,Home Office,United States,Los Angeles,California,OFF-LA-10004559,Office Supplies,Labels,Avery 49
West,2.88,CA-2017-159107,Second Class,KT-16480,Kean Thornton,Consumer,United States,San Francisco,California,OFF-FA-10001332,Office Supplies,Fasteners,"Acco Banker's Clasps, 5 3/4""-Long"
West,2.9120000000000004,CA-2016-143476,First Class,LC-16930,Linda Cazamias,Corporate,United States,Phoenix,Arizona,OFF-AR-10003759,Office Supplies,Art,"Crayola Anti Dust Chalk, 12/Pack"
West,2.94,US-2014-134187,Standard Class,TH-21235,Tiffany House,Corporate,United States,Long Beach,California,OFF-AR-10000940,Office Supplies,Art,Newell 343
West,2.96,US-2017-132444,First Class,CD-12280,Christina DeMoss,Consumer,United States,Seattle,Washington,OFF-FA-10000611,Office Supplies,Fasteners,Binder Clips by OIC
West,2.9920000000000004,CA-2014-155264,Second Class,RP-19270,Rachel Payne,Corporate,United States,San Francisco,California,OFF-BI-10003196,Office Supplies,Binders,Accohide Poly Flexible Ring Binders
West,3.024,CA-2017-156720,Standard Class,JM-15580,Jill Matthias,Consumer,United States,Loveland,Colorado,OFF-FA-10003472,Office Supplies,Fasteners,Bagged Rubber Bands
West,3.08,CA-2015-101707,Standard Class,PF-19165,Philip Fox,Consumer,United States,San Diego,California,OFF-LA-10000134,Office Supplies,Labels,Avery 511
West,3.108,CA-2016-149279,Standard Class,CL-12700,Craig Leslie,Home Office,United States,Colorado Springs,Colorado,OFF-BI-10004040,Office Supplies,Binders,Wilson Jones Impact Binders
