orderid,Customer Name,shipmode,sales,quantity,discount,profit,segment,region,state,subcategory,category,orderdate_day,orderdate_weekday,orderdate_month,orderdate_year,shipdate_day,shipdate_month,shipdate_year,preparationtime
1,Muhammed MacIntyre,First Class,825.174,9,0.3,-117.882,Corporate,Central,Illinois,Bookcases                                         ,Furniture,4,Sonntag,9,2016,6,9,2016,2
2,Ruben Dartt,Standard Class,411.332,4,0.15,-4.8392,Consumer,West,California,Bookcases                                         ,Furniture,5,Freitag,9,2014,9,9,2014,4
3,Liz Pelletier,Same Day,411.332,4,0.15,-4.8392,Home Office,West,California,Bookcases                                         ,Furniture,28,Donnerstag,11,2013,28,11,2013,0
4,Liz Pelletier,First Class,241.96,2,0,33.8744,Consumer,South,Louisiana,Bookcases                                         ,Furniture,30,Montag,5,2016,31,5,2016,1
5,Liz Pelletier,Standard Class,341.96,2,0,78.6508,Home Office,East,Rhode Island,Bookcases                                         ,Furniture,31,Dienstag,12,2013,7,1,2014,7
6,Liz Pelletier,First Class,359.058,3,0.3,-35.9058,Home Office,Central,Illinois,Bookcases                                         ,Furniture,24,Montag,3,2014,27,3,2014,3
7,Julie Creighton,Same Day,136.784,1,0.2,5.1294,Consumer,East,New York,Bookcases                                         ,Furniture,5,Freitag,6,2015,5,6,2015,0
8,Julie Creighton,Standard Class,1025.88,6,0,235.9524,Corporate,East,Delaware,Bookcases                                         ,Furniture,19,Dienstag,11,2013,25,11,2013,6
9,Sample Company A,Standard Class,290.666,2,0.15,27.3568,Corporate,West,California,Bookcases                                         ,Furniture,26,Sonntag,5,2013,30,5,2013,4
10,Tamara Dahlen,Second Class,145.74,3,0,23.3184,Consumer,South,Louisiana,Bookcases                                         ,Furniture,6,Samstag,8,2016,10,8,2016,4
11,Arthur Gainer,Standard Class,102.018,7,0.7,-183.6324,Consumer,West,Colorado,Bookcases                                         ,Furniture,19,Montag,12,2016,23,12,2016,4
12,Jonathan Doherty,Standard Class,194.32,4,0,31.0912,Corporate,Central,Michigan,Bookcases                                         ,Furniture,21,Sonntag,9,2014,27,9,2014,6
13,Jonathan Doherty,Second Class,155.456,4,0.2,-7.7728,Consumer,South,Florida,Bookcases                                         ,Furniture,8,Donnerstag,8,2013,10,8,2013,2
14,Helen Wasserman,Second Class,48.58,1,0,7.7728,Consumer,West,Washington,Bookcases                                         ,Furniture,30,Freitag,1,2015,1,2,2015,2
15,Helen Wasserman,Standard Class,77.728,2,0.2,-3.8864,Consumer,South,North Carolina,Bookcases                                         ,Furniture,15,Mittwoch,6,2016,19,6,2016,4
16,Keith Dawkins,Standard Class,212.94,3,0,57.4938,Home Office,Central,Michigan,Bookcases                                         ,Furniture,14,Freitag,6,2013,20,6,2013,6
17,Craig Yedwab,Standard Class,638.82,9,0,172.4814,Consumer,South,Arkansas,Bookcases                                         ,Furniture,19,Montag,8,2013,26,8,2013,7
